Student_ID,Gender,Age,Programming_Skill_Level,Abstraction_Score,Decomposition_Score,Algorithmic_Thinking_Score,Debugging_Score,Pattern_Recognition_Score,Pre_Test_Score,Improvement_Score,Post_Test_Score
S0098,M,34,Beginner,4,4,4,3,5,42,16,58
S0099,M,24,Intermediate,2,1,1,5,3,59,24,83
S0100,F,32,Intermediate,4,3,1,3,5,61,5,66
S0101,F,11,Advanced,1,3,2,5,1,70,15,85
S0102,M,21,Intermediate,4,4,4,5,5,44,18,62
S0103,M,7,Beginner,5,4,3,1,5,61,27,88
S0104,M,13,Advanced,3,4,1,4,3,66,5,71
S0105,M,22,Beginner,4,2,4,2,1,63,6,69
S0106,M,28,Advanced,4,1,5,1,5,41,18,59
S0107,M,7,Advanced,4,3,2,3,5,61,30,91
S0108,M,15,Intermediate,5,1,1,5,2,64,19,83
S0109,M,33,Beginner,4,1,1,5,5,60,25,85
S0110,F,21,Advanced,5,1,3,2,3,56,16,72
S0111,M,11,Intermediate,5,4,1,1,2,55,5,60
S0112,F,33,Advanced,3,4,4,1,1,68,14,82
S0113,M,7,Advanced,1,3,4,3,4,63,21,84
S0114,M,7,Advanced,5,3,4,1,3,59,8,67
S0115,F,31,Advanced,2,3,5,1,1,63,1,64
S0116,M,18,Advanced,4,1,5,4,2,52,4,56
S0117,F,29,Advanced,2,4,1,2,4,70,20,90
S0118,M,20,Intermediate,4,2,5,1,1,59,22,81
S0119,M,33,Advanced,3,1,5,3,3,50,4,54
S0120,F,7,Beginner,5,5,3,5,2,47,11,58
S0121,M,12,Intermediate,1,1,5,1,3,64,29,93
S0122,F,8,Beginner,5,4,2,1,3,60,9,69
S0123,M,13,Advanced,4,5,2,5,2,44,3,47
S0124,F,28,Beginner,1,1,2,4,5,41,11,52
S0125,F,19,Advanced,5,4,1,2,3,64,14,78
S0126,M,29,Advanced,1,4,4,4,2,66,9,75
S0127,M,35,Intermediate,4,2,3,3,3,43,27,70
S0128,F,28,Intermediate,3,1,1,1,5,42,30,72
S0129,M,32,Advanced,3,4,4,4,2,41,29,70
S0130,M,27,Intermediate,5,3,3,2,1,42,17,59
S0131,M,34,Beginner,2,4,3,3,1,55,23,78
S0132,F,12,Intermediate,4,2,3,4,1,59,4,63
S0133,F,26,Intermediate,5,4,2,1,4,48,12,60
S0134,F,12,Beginner,5,1,2,2,3,45,3,48
S0135,F,6,Intermediate,3,1,2,1,3,65,8,73
S0136,F,22,Advanced,1,5,3,1,2,54,17,71
S0137,F,14,Beginner,4,1,3,3,4,44,2,46
S0138,F,35,Advanced,1,5,2,2,3,68,30,98
S0139,F,26,Beginner,4,3,3,5,2,48,23,71
S0140,F,18,Advanced,2,2,2,1,5,63,10,73
S0141,M,26,Advanced,3,3,2,2,3,45,3,48
S0142,F,24,Intermediate,2,5,2,1,3,42,8,50
S0143,M,26,Advanced,5,4,4,4,5,62,25,87
S0144,M,24,Intermediate,3,4,3,4,5,70,28,98
S0145,M,30,Beginner,5,3,1,2,3,52,11,63
S0146,F,30,Advanced,2,4,2,3,5,65,25,90
S0147,F,27,Advanced,4,5,1,5,2,61,9,70
S0148,F,22,Beginner,5,2,4,4,3,67,9,76
S0149,F,28,Beginner,1,1,3,3,3,54,8,62
S0150,M,28,Advanced,4,5,2,5,1,50,9,59
S0151,F,35,Beginner,4,5,2,4,3,69,8,77
S0152,F,15,Intermediate,2,1,2,5,1,55,0,55
S0153,F,15,Beginner,2,1,1,1,5,54,21,75
S0154,F,9,Beginner,3,2,4,2,5,63,15,78
S0155,F,13,Advanced,3,2,3,4,2,67,25,92
S0156,M,27,Intermediate,1,2,4,4,1,45,13,58
S0157,F,25,Beginner,4,4,2,1,3,53,12,65
S0158,M,25,Intermediate,1,5,4,4,1,50,5,55
S0159,F,23,Intermediate,1,1,1,4,5,65,13,78
S0160,M,19,Intermediate,2,5,5,4,5,59,7,66
S0161,F,23,Advanced,1,5,5,4,2,49,22,71
S0162,F,33,Beginner,1,2,3,4,5,55,22,77
S0163,M,19,Advanced,5,2,3,3,1,51,30,81
S0164,M,25,Beginner,3,5,4,4,3,46,17,63
S0165,M,26,Beginner,3,2,3,1,3,46,28,74
S0166,F,29,Advanced,4,4,1,4,1,66,27,93
S0167,M,20,Intermediate,3,1,2,5,2,63,26,89
S0168,F,27,Intermediate,4,5,2,5,3,57,19,76
S0169,F,35,Beginner,5,1,4,1,1,54,0,54
S0170,M,9,Advanced,3,4,2,3,1,66,11,77
S0171,M,18,Intermediate,5,2,4,1,5,45,26,71
S0172,F,32,Intermediate,3,3,3,3,5,69,10,79
S0173,F,28,Beginner,3,4,3,2,2,58,12,70
S0174,M,13,Beginner,5,3,1,5,2,47,22,69
S0175,M,23,Advanced,1,1,2,5,2,59,3,62
S0176,M,17,Beginner,1,5,1,5,1,54,24,78
S0177,F,28,Intermediate,1,2,5,3,1,69,5,74
S0178,F,19,Intermediate,1,4,1,1,5,43,21,64
S0179,F,7,Intermediate,3,2,4,3,3,57,24,81
S0180,F,23,Intermediate,2,3,4,5,2,52,12,64
S0181,F,29,Advanced,5,3,1,5,4,61,23,84
S0182,F,7,Advanced,2,5,3,5,2,61,21,82
S0183,M,16,Beginner,2,3,5,5,5,40,12,52
S0184,F,14,Beginner,4,5,1,2,1,67,5,72
S0185,F,17,Beginner,1,4,3,5,5,47,21,68
S0186,F,22,Advanced,3,5,1,3,5,58,3,61
S0187,M,20,Intermediate,1,3,2,5,5,56,20,76
S0188,F,30,Beginner,1,1,4,4,4,49,2,51
S0189,F,22,Intermediate,2,5,2,2,4,40,24,64
S0190,M,31,Beginner,4,2,2,5,2,40,29,69
S0191,F,34,Beginner,1,1,5,4,1,60,14,74
S0192,F,31,Beginner,5,5,3,3,5,44,10,54
S0193,F,23,Beginner,5,2,4,2,3,40,1,41
S0194,F,27,Beginner,1,1,2,5,2,60,26,86
S0195,F,11,Intermediate,2,5,4,3,2,62,22,84
S0196,M,22,Beginner,2,4,3,4,5,60,16,76
S0197,M,28,Intermediate,3,2,1,2,2,64,25,89
S0198,M,29,Advanced,4,4,2,5,5,59,27,86
S0199,F,23,Beginner,2,3,3,3,2,52,22,74
S0200,F,13,Intermediate,3,5,4,2,1,48,1,49
S0201,F,14,Advanced,5,5,3,4,2,55,20,75
S0202,M,11,Advanced,5,2,1,5,2,67,0,67
S0203,F,10,Advanced,5,5,3,2,3,47,4,51
S0204,F,17,Intermediate,1,3,4,4,1,53,26,79
S0205,M,30,Beginner,4,5,2,4,1,68,19,87
S0206,F,34,Beginner,3,1,2,3,1,56,16,72
S0207,M,33,Intermediate,4,4,5,4,2,68,27,95
S0208,M,16,Beginner,1,3,4,4,4,43,29,72
S0209,M,30,Intermediate,3,3,5,1,2,46,0,46
S0210,F,6,Beginner,3,4,5,4,5,56,6,62
S0211,F,16,Advanced,2,4,1,5,3,67,28,95
S0212,F,24,Beginner,4,3,4,2,1,63,2,65
S0213,F,14,Intermediate,4,4,2,5,5,55,25,80
S0214,F,32,Intermediate,2,2,4,5,5,53,15,68
S0215,F,7,Advanced,5,4,1,3,4,55,15,70
S0216,F,17,Intermediate,1,1,4,1,1,66,11,77
S0217,M,9,Beginner,4,1,4,1,2,41,8,49
S0218,F,9,Beginner,2,2,5,5,1,63,24,87
S0219,M,23,Advanced,3,4,4,2,3,54,13,67
S0220,F,20,Intermediate,2,1,5,1,1,50,11,61
S0221,F,24,Advanced,5,5,5,1,5,52,25,77
S0222,F,18,Beginner,1,4,3,5,5,43,26,69
S0223,M,24,Advanced,5,2,1,1,2,63,24,87
S0224,M,22,Intermediate,3,4,5,3,2,40,15,55
S0225,M,11,Advanced,3,3,4,5,2,54,16,70
S0226,M,21,Intermediate,3,3,5,1,3,51,11,62
S0227,F,29,Intermediate,3,1,5,1,1,60,3,63
S0228,M,17,Beginner,2,3,5,1,4,48,16,64
S0229,F,24,Beginner,3,2,2,5,1,46,0,46
S0230,F,10,Beginner,3,1,2,2,2,42,29,71
S0231,M,22,Intermediate,2,2,2,4,3,55,24,79
S0232,M,31,Advanced,3,2,2,1,1,43,20,63
S0233,M,28,Intermediate,5,3,3,4,5,65,16,81
S0234,M,31,Beginner,5,3,5,4,1,62,10,72
S0235,M,34,Beginner,4,2,3,1,5,53,18,71
S0236,M,6,Advanced,5,3,4,1,1,61,22,83
S0237,M,33,Beginner,1,3,1,4,1,52,29,81
S0238,M,32,Beginner,1,3,3,2,1,68,17,85
S0239,F,30,Beginner,1,4,2,4,2,59,19,78
S0240,M,29,Advanced,2,2,2,2,5,58,1,59
S0241,M,28,Intermediate,5,5,4,3,3,66,8,74
S0242,F,15,Beginner,1,2,5,2,4,41,27,68
S0243,M,20,Advanced,4,1,1,5,5,49,8,57
S0244,F,28,Beginner,2,3,3,1,2,67,11,78
S0245,F,26,Advanced,4,3,5,3,5,64,29,93
S0246,M,26,Beginner,5,5,5,4,3,58,30,88
S0247,F,16,Advanced,3,1,3,2,5,54,12,66
S0248,F,18,Beginner,4,4,3,3,2,46,15,61
S0249,F,10,Intermediate,3,2,3,5,2,54,30,84
S0250,F,6,Beginner,2,4,3,2,4,56,28,84
S0251,M,29,Advanced,4,1,2,4,3,63,12,75
S0252,F,17,Beginner,4,5,5,4,4,55,22,77
S0253,M,16,Intermediate,2,1,5,2,1,56,13,69
S0254,F,22,Beginner,2,5,2,5,2,67,6,73
S0255,F,9,Advanced,1,4,5,1,4,55,1,56
S0256,F,20,Advanced,5,4,3,1,2,57,11,68
S0257,F,30,Intermediate,4,1,1,4,2,56,25,81
S0258,M,35,Advanced,4,1,5,5,1,43,27,70
S0259,M,14,Beginner,2,3,1,4,2,41,23,64
S0260,F,26,Beginner,2,5,1,1,4,56,16,72
S0261,F,25,Beginner,5,3,2,4,3,56,23,79
S0262,M,24,Advanced,2,2,4,2,5,70,4,74
S0263,F,24,Beginner,3,2,5,2,4,41,28,69
S0264,F,17,Beginner,3,1,2,5,1,61,19,80
S0265,F,10,Beginner,3,4,2,1,5,41,9,50
S0266,M,15,Intermediate,3,2,1,5,2,68,17,85
S0267,M,22,Advanced,5,2,5,5,4,54,2,56
S0268,M,10,Advanced,4,3,2,1,5,68,12,80
S0269,F,27,Advanced,3,3,3,3,4,67,12,79
S0270,F,21,Intermediate,2,2,2,3,2,67,9,76
S0271,M,12,Advanced,3,1,3,4,4,55,28,83
S0272,M,33,Intermediate,5,3,4,3,1,50,1,51
S0273,M,14,Intermediate,2,2,3,2,5,68,26,94
S0274,M,8,Advanced,3,4,3,5,5,41,27,68
S0275,F,20,Beginner,4,3,1,4,5,47,15,62
S0276,M,21,Beginner,2,2,2,5,4,60,3,63
S0277,F,23,Advanced,2,5,4,1,2,69,18,87
S0278,M,19,Advanced,4,3,2,3,4,70,4,74
S0279,F,8,Intermediate,2,5,3,1,4,63,6,69
S0280,M,17,Advanced,3,3,3,4,5,51,8,59
S0281,M,14,Intermediate,2,3,2,2,2,53,4,57
S0282,M,33,Advanced,3,5,4,3,3,67,7,74
S0283,M,12,Beginner,4,1,4,1,2,53,1,54
S0284,F,14,Beginner,1,2,1,3,4,63,21,84
S0285,M,18,Advanced,4,1,3,5,1,51,23,74
S0286,F,23,Intermediate,3,1,3,2,2,41,24,65
S0287,F,10,Beginner,5,2,1,3,5,53,26,79
S0288,F,18,Intermediate,4,4,2,2,1,62,19,81
S0289,F,9,Advanced,5,1,3,5,3,64,19,83
S0290,M,7,Advanced,5,1,2,5,3,51,6,57
S0291,F,21,Beginner,3,1,4,1,1,63,28,91
S0292,F,14,Advanced,3,4,5,4,3,68,3,71
S0293,F,14,Beginner,1,3,1,1,1,48,20,68
S0294,M,11,Intermediate,2,5,3,2,4,68,14,82
S0295,M,16,Beginner,4,5,1,1,1,47,30,77
S0296,M,27,Beginner,3,4,4,3,4,59,17,76
S0297,M,29,Intermediate,4,1,4,1,5,55,1,56
S0298,F,27,Beginner,5,5,4,4,5,49,26,75
S0299,F,6,Beginner,2,4,4,4,3,46,13,59
S0300,M,9,Advanced,1,2,5,2,1,54,9,63
S0301,F,18,Intermediate,4,5,2,5,4,64,4,68
S0302,F,28,Beginner,2,2,2,4,5,48,11,59
S0303,F,18,Intermediate,1,1,5,2,5,43,9,52
S0304,M,18,Intermediate,4,5,2,4,5,70,25,95
S0305,M,7,Beginner,2,4,4,4,3,62,28,90
S0306,F,14,Advanced,3,3,2,5,5,45,30,75
S0307,M,29,Intermediate,4,5,1,3,2,67,17,84
S0308,M,13,Beginner,2,5,2,2,3,51,27,78
S0309,M,12,Intermediate,1,5,1,4,1,54,5,59
S0310,M,9,Advanced,2,5,3,4,2,58,27,85
S0311,M,23,Advanced,3,4,1,1,3,65,30,95
S0312,F,8,Advanced,4,4,1,3,3,61,21,82
S0313,M,33,Beginner,4,3,4,5,4,63,11,74
S0314,F,11,Beginner,4,4,4,2,2,41,23,64
S0315,F,17,Advanced,3,4,4,4,2,70,30,100
S0316,M,17,Beginner,1,1,1,2,2,67,27,94
S0317,F,26,Advanced,4,1,5,5,5,58,0,58
S0318,F,33,Beginner,1,2,4,3,5,63,6,69
S0319,F,13,Advanced,2,3,4,1,1,70,11,81
S0320,M,27,Intermediate,1,1,1,3,1,59,30,89
S0321,M,27,Advanced,1,3,3,1,1,59,6,65
S0322,F,6,Advanced,4,3,3,2,5,41,8,49
S0323,M,9,Beginner,5,5,2,3,4,54,19,73
S0324,M,26,Beginner,5,3,3,3,1,66,14,80
S0325,M,33,Beginner,3,5,4,3,3,65,22,87
S0326,M,16,Beginner,3,2,5,5,5,51,11,62
S0327,F,8,Beginner,5,2,2,2,4,68,12,80
S0328,F,18,Beginner,2,2,5,1,3,40,21,61
S0329,M,30,Intermediate,4,5,5,3,3,62,3,65
S0330,M,22,Advanced,4,5,4,2,5,53,9,62
S0331,F,27,Advanced,2,2,1,5,2,43,27,70
S0332,F,27,Advanced,2,5,1,5,4,61,23,84
S0333,M,15,Intermediate,5,4,1,2,5,63,2,65
S0334,F,26,Advanced,3,4,3,1,2,50,23,73
S0335,M,17,Intermediate,2,5,1,2,5,46,28,74
S0336,M,20,Intermediate,3,5,4,2,5,52,4,56
S0337,F,26,Intermediate,1,1,3,4,3,53,3,56
S0338,F,15,Advanced,4,1,1,5,5,46,18,64
S0339,M,19,Intermediate,5,3,5,1,2,61,14,75
S0340,M,18,Advanced,4,3,4,4,3,50,29,79
S0341,F,10,Advanced,5,3,4,2,2,59,27,86
S0342,M,11,Beginner,1,2,2,5,2,59,25,84
S0343,F,29,Beginner,4,4,4,4,3,64,22,86
S0344,M,7,Intermediate,1,2,5,4,2,50,28,78
S0345,F,27,Intermediate,5,5,4,1,1,60,6,66
S0346,F,22,Advanced,2,1,2,2,5,48,28,76
S0347,F,9,Intermediate,4,5,4,1,3,70,21,91
S0348,M,19,Intermediate,1,5,4,4,3,66,2,68
S0349,M,15,Advanced,4,1,2,4,1,67,24,91
S0350,F,8,Intermediate,4,5,4,1,1,64,29,93
S0351,M,30,Intermediate,4,3,3,4,1,43,26,69
S0352,F,8,Advanced,3,1,4,3,1,41,15,56
S0353,F,20,Advanced,1,5,1,5,4,41,14,55
S0354,M,11,Beginner,1,3,1,2,3,64,17,81
S0355,M,22,Advanced,4,3,3,5,2,48,2,50
S0356,F,17,Beginner,2,4,4,2,3,58,13,71
S0357,M,27,Intermediate,4,3,5,4,3,54,0,54
S0358,M,25,Advanced,3,2,4,1,3,60,6,66
S0359,F,29,Advanced,5,1,1,1,1,60,1,61
S0360,F,34,Advanced,3,1,2,4,1,57,9,66
S0361,M,16,Intermediate,2,1,3,2,4,55,23,78
S0362,F,30,Beginner,4,5,2,4,3,41,24,65
S0363,F,9,Intermediate,1,5,5,2,5,65,15,80
S0364,M,31,Intermediate,4,2,4,4,4,51,11,62
S0365,F,33,Advanced,2,3,5,4,1,68,26,94
S0366,F,31,Beginner,1,5,2,4,3,40,29,69
S0367,M,11,Intermediate,3,3,4,1,1,41,17,58
S0368,M,6,Advanced,5,3,5,2,2,53,5,58
S0369,F,25,Intermediate,5,5,1,4,1,66,26,92
S0370,F,28,Intermediate,4,5,1,5,1,46,30,76
S0371,M,33,Advanced,3,2,3,5,4,56,16,72
S0372,M,21,Advanced,2,4,1,1,2,54,7,61
S0373,M,20,Beginner,5,1,1,3,5,56,20,76
S0374,M,22,Intermediate,3,5,2,1,5,48,8,56
S0375,F,13,Advanced,4,5,1,3,5,52,18,70
S0376,M,33,Advanced,1,3,1,1,3,41,1,42
S0377,M,31,Beginner,4,4,2,5,5,66,6,72
S0378,F,17,Beginner,4,5,1,4,3,54,10,64
S0379,M,32,Advanced,3,4,1,2,1,59,22,81
S0380,F,27,Beginner,5,1,3,4,5,50,12,62
S0381,M,26,Advanced,3,3,1,5,4,58,9,67
S0382,M,15,Intermediate,1,2,1,2,2,53,14,67
S0383,M,32,Beginner,3,1,3,3,2,66,20,86
S0384,F,20,Intermediate,2,4,2,3,1,43,6,49
S0385,F,35,Intermediate,4,4,1,5,2,66,27,93
S0386,M,14,Intermediate,5,1,5,2,2,69,5,74
S0387,F,7,Advanced,1,4,2,4,1,50,24,74
S0388,F,10,Intermediate,4,2,2,5,1,55,11,66
S0389,F,11,Intermediate,3,2,1,3,1,62,2,64
S0390,F,12,Intermediate,2,4,3,5,4,65,15,80
S0391,F,26,Advanced,3,4,2,4,1,69,19,88
S0392,F,30,Intermediate,4,2,3,1,1,41,8,49
S0393,M,6,Intermediate,1,4,5,1,1,41,9,50
S0394,M,28,Beginner,5,5,3,4,5,48,29,77
S0395,F,31,Advanced,4,3,4,2,5,61,12,73
S0396,M,12,Intermediate,1,5,3,5,4,66,30,96
S0397,M,25,Beginner,4,4,2,4,4,70,7,77
S0398,M,30,Advanced,2,4,3,1,2,70,25,95
S0399,M,35,Advanced,3,3,3,3,5,62,5,67
S0400,F,17,Advanced,5,4,4,4,4,60,27,87
S0401,M,21,Advanced,1,3,4,4,4,68,2,70
S0402,M,21,Advanced,5,2,1,4,2,60,11,71
S0403,F,16,Advanced,5,3,2,1,1,70,8,78
S0404,F,26,Intermediate,5,3,1,1,3,43,8,51
S0405,M,9,Intermediate,1,5,4,4,2,47,10,57
S0406,M,18,Intermediate,1,4,3,4,3,62,5,67
S0407,M,12,Intermediate,5,2,4,2,2,65,1,66
S0408,M,9,Beginner,3,1,5,3,2,57,6,63
S0409,M,20,Intermediate,4,3,3,5,1,54,30,84
S0410,M,24,Advanced,5,1,1,5,4,41,8,49
S0411,F,14,Intermediate,2,4,3,5,5,61,24,85
S0412,M,16,Intermediate,5,3,5,1,2,67,18,85
S0413,M,13,Advanced,1,1,4,1,1,50,17,67
S0414,F,6,Intermediate,4,5,2,2,3,56,11,67
S0415,F,28,Intermediate,2,1,2,1,4,46,20,66
S0416,F,30,Intermediate,4,5,2,4,2,70,10,80
S0417,F,29,Beginner,4,2,4,3,3,47,9,56
S0418,M,13,Intermediate,2,4,2,3,2,69,28,97
S0419,M,18,Advanced,5,1,5,3,5,49,22,71
S0420,M,27,Advanced,5,3,4,3,5,63,2,65
S0421,M,32,Intermediate,5,4,2,5,4,42,11,53
S0422,M,9,Intermediate,3,1,1,5,3,52,3,55
S0423,M,13,Intermediate,5,3,4,4,5,62,9,71
S0424,F,8,Advanced,2,3,4,2,1,56,1,57
S0425,M,34,Advanced,3,3,3,1,4,52,11,63
S0426,F,14,Beginner,5,3,2,1,2,70,27,97
S0427,F,34,Beginner,3,1,1,5,3,66,10,76
S0428,M,7,Beginner,2,2,5,3,3,58,13,71
S0429,F,7,Advanced,5,5,4,4,1,68,14,82
S0430,M,33,Beginner,1,5,5,2,5,61,13,74
S0431,F,18,Intermediate,2,5,5,5,3,48,25,73
S0432,M,20,Intermediate,4,2,5,4,1,60,28,88
S0433,F,33,Advanced,4,3,3,4,1,68,11,79
S0434,M,28,Beginner,2,3,5,5,2,55,28,83
S0435,M,17,Intermediate,4,4,2,4,1,69,1,70
S0436,M,31,Advanced,2,5,2,3,4,44,22,66
S0437,M,9,Beginner,1,5,1,4,3,48,1,49
S0438,M,31,Intermediate,2,3,1,2,4,67,0,67
S0439,F,13,Beginner,5,5,5,4,1,48,19,67
S0440,F,14,Advanced,5,3,5,1,1,45,14,59
S0441,F,28,Beginner,3,3,3,4,4,60,29,89
S0442,M,10,Advanced,4,3,5,5,2,49,21,70
S0443,F,29,Beginner,4,1,5,1,1,57,9,66
S0444,M,25,Intermediate,2,1,5,5,4,50,25,75
S0445,M,23,Advanced,4,1,4,2,4,63,19,82
S0446,F,16,Advanced,5,1,4,3,3,67,0,67
S0447,F,20,Advanced,1,2,3,2,2,63,0,63
S0448,M,33,Beginner,2,4,3,1,5,54,24,78
S0449,F,27,Beginner,4,4,2,3,4,46,0,46
S0450,M,14,Intermediate,5,3,3,4,3,53,22,75
S0451,M,22,Advanced,3,5,2,1,5,47,10,57
S0452,M,32,Advanced,4,1,5,3,3,58,27,85
S0453,M,31,Beginner,1,4,3,5,3,54,27,81
S0454,M,17,Beginner,1,4,3,3,2,58,11,69
S0455,F,12,Intermediate,4,1,3,5,1,57,14,71
S0456,F,15,Intermediate,4,2,2,5,2,56,13,69
S0457,M,30,Beginner,5,2,2,3,5,42,22,64
S0458,M,31,Advanced,4,4,1,2,2,42,0,42
S0459,F,30,Intermediate,3,2,2,2,1,46,0,46
S0460,F,15,Beginner,5,1,2,5,2,67,5,72
S0461,M,32,Beginner,2,4,4,1,2,70,23,93
S0462,F,18,Advanced,3,1,3,3,2,49,22,71
S0463,M,24,Beginner,5,2,2,1,4,64,21,85
S0464,F,16,Beginner,5,1,3,2,4,67,25,92
S0465,M,18,Intermediate,1,2,3,1,2,56,2,58
S0466,F,26,Beginner,5,2,4,4,1,54,13,67
S0467,M,13,Beginner,3,1,3,4,1,47,27,74
S0468,F,13,Intermediate,4,2,2,2,1,56,26,82
S0469,F,9,Advanced,3,3,3,1,1,42,22,64
S0470,M,20,Advanced,2,1,1,3,3,43,5,48
